author et al. (YEAR)_CHARACTER,paper title_CHARACTER,type of study_CHOICE,study duration_CHOICE,time point_CHOICE,year(s)_STARTYEAR_DASH_ENDYEAR,region_CHARACTER,individual parameter name_CHARACTER,parameter value origin_CHARACTER,parameter unit_CHARACTER,sample size_NUMERIC,life-stage_CHOICE,parameter value_NUMERIC,significance_CHOICE,R_squared_NUMERIC,StandardDeviation_NUMERIC,"applicable to other sub-mechanisms (egg & larval development, build-up of body reserves, overwintering)",comments_CHARACTER,AB_applicable mechanism,"AB_information category (corr, parameter)",DB_applicable mechanism,"DB_information category (corr, parameter)",
Hosie et al. (1988),"distribution, abundance and population structure of the antarctic krill (euphausia superba dana) in the prydz bay region, antarctica",observation,months,summer,1981,Prydz Bay,mean body length age 1+,FIBEX regular trawl,mm,NA,adult,28,NA,NA,3.09,,,,,-,validation,
Hosie et al. (1988),"distribution, abundance and population structure of the antarctic krill (euphausia superba dana) in the prydz bay region, antarctica",observation,months,summer,1981,Prydz Bay,mean body length age 3+,FIBEX regular trawl,mm,NA,adult,46.34,NA,NA,4,,,,,-,validation,
Hosie et al. (1988),"distribution, abundance and population structure of the antarctic krill (euphausia superba dana) in the prydz bay region, antarctica",observation,months,summer,1981,Prydz Bay,mean body length age 1+,FIBEX aimed trawl,mm,NA,adult,30.83,NA,NA,4.23,,,,,-,validation,
Hosie et al. (1988),"distribution, abundance and population structure of the antarctic krill (euphausia superba dana) in the prydz bay region, antarctica",observation,months,summer,1981,Prydz Bay,mean body length age 2+,FIBEX aimed trawl,mm,NA,adult,40.96,NA,NA,2.62,,,,,-,validation,
Hosie et al. (1988),"distribution, abundance and population structure of the antarctic krill (euphausia superba dana) in the prydz bay region, antarctica",observation,months,summer,1981,Prydz Bay,mean body length age 3+,FIBEX aimed trawl,mm,NA,adult,48.24,NA,NA,2.43,,,,,-,validation,
Hosie et al. (1988),"distribution, abundance and population structure of the antarctic krill (euphausia superba dana) in the prydz bay region, antarctica",observation,months,summer,1981,Prydz Bay,mean body length age 4+,FIBEX aimed trawl,mm,NA,adult,54.92,NA,NA,1.27,,,,,-,validation,
Hosie et al. (1988),"distribution, abundance and population structure of the antarctic krill (euphausia superba dana) in the prydz bay region, antarctica",observation,months,summer,1982,Prydz Bay,mean body length age 1+,ADBEX I regular trawl,mm,NA,adult,19.09,NA,NA,2.59,,,,,-,validation,
Hosie et al. (1988),"distribution, abundance and population structure of the antarctic krill (euphausia superba dana) in the prydz bay region, antarctica",observation,months,summer,1982,Prydz Bay,mean body length age 2+,ADBEX I regular trawl,mm,NA,adult,35.49,NA,NA,4.29,,,,,-,validation,
Hosie et al. (1988),"distribution, abundance and population structure of the antarctic krill (euphausia superba dana) in the prydz bay region, antarctica",observation,months,summer,1982,Prydz Bay,mean body length age 3+,ADBEX I regular trawl,mm,NA,adult,48.83,NA,NA,3.21,,,,,-,validation,
Hosie et al. (1988),"distribution, abundance and population structure of the antarctic krill (euphausia superba dana) in the prydz bay region, antarctica",observation,months,summer,1984,Prydz Bay,mean body length age 0,ADBEX II regular + aimed trawl,mm,NA,juvenile,2.61,NA,NA,NA,,,,,-,validation,
Hosie et al. (1988),"distribution, abundance and population structure of the antarctic krill (euphausia superba dana) in the prydz bay region, antarctica",observation,months,summer,1984,Prydz Bay,mean body length age 1+,ADBEX II regular + aimed trawl,mm,NA,adult,19.04,NA,NA,2.84,,,,,-,validation,
Hosie et al. (1988),"distribution, abundance and population structure of the antarctic krill (euphausia superba dana) in the prydz bay region, antarctica",observation,months,summer,1984,Prydz Bay,mean body length age 2+,ADBEX II regular + aimed trawl,mm,NA,adult,34.28,NA,NA,3.14,,,,,-,validation,
Hosie et al. (1988),"distribution, abundance and population structure of the antarctic krill (euphausia superba dana) in the prydz bay region, antarctica",observation,months,summer,1984,Prydz Bay,mean body length age 3+,ADBEX II regular + aimed trawl,mm,NA,adult,41.29,NA,NA,3.94,,,,,-,validation,
Hosie et al. (1988),"distribution, abundance and population structure of the antarctic krill (euphausia superba dana) in the prydz bay region, antarctica",observation,months,summer,1985,Prydz Bay,mean body length age 0,SIBEX II regular trawl,mm,NA,juvenile,1.24,NA,NA,NA,,,,,-,validation,
Hosie et al. (1988),"distribution, abundance and population structure of the antarctic krill (euphausia superba dana) in the prydz bay region, antarctica",observation,months,summer,1985,Prydz Bay,mean body length age 1+,SIBEX II regular trawl,mm,NA,adult,21.16,NA,NA,2.4,,,,,-,validation,
Hosie et al. (1988),"distribution, abundance and population structure of the antarctic krill (euphausia superba dana) in the prydz bay region, antarctica",observation,months,summer,1985,Prydz Bay,mean body length age 2+,SIBEX II regular trawl,mm,NA,adult,39.41,NA,NA,6.4,,,,,-,validation,
Hosie et al. (1988),"distribution, abundance and population structure of the antarctic krill (euphausia superba dana) in the prydz bay region, antarctica",observation,months,summer,1985,Prydz Bay,mean body length age 4+,SIBEX II regular trawl,mm,NA,adult,51.06,NA,NA,2.19,,,,,-,validation,
Hosie et al. (1988),"distribution, abundance and population structure of the antarctic krill (euphausia superba dana) in the prydz bay region, antarctica",observation,months,summer,1985,Prydz Bay,mean body length age 2+,SIBEX II aimed trawl,mm,NA,adult,39.97,NA,NA,5.52,,,,,-,validation,
Hosie et al. (1988),"distribution, abundance and population structure of the antarctic krill (euphausia superba dana) in the prydz bay region, antarctica",observation,months,summer,1985,Prydz Bay,mean body length age 3+,SIBEX II aimed trawl,mm,NA,adult,44.97,NA,NA,4.03,,,,,-,validation,
Astheimer (1986),a length class model of the population dynamics of the antarctic krill euphausia superba dana,model,,,,,,,,,,,,,,,"Study used a length class model to simulate the population dynamics of krill, skilfully capturing the cyclical fluctuations in the abundance of krill",,,-,-,
"capella j.e., quetin l.b., hofmann e.e., ross r.m.",models of the early life history of euphausia superba-part ii. lagrangian calculations,model,weeks,summer,NA,AntarcticPeninsula,NA,NA,NA,NA,NA,NA,NA,NA,NA,egg and larval development,the study simulates the drift trajectories of larvae until they reach C3-stage. Different timings of spawning result in different trajectories and connectivity between areas due to temporal changes in the wind fields in the spawning season. This study is useful for modelling the regional population of krill around the Antarctic Peninsula and Scotia Sea but provides no new data that could be directly used for model parameterization,,,-,validation,
Siegel (2012),"krill stocks in high latitudes of the antarctic lazarev sea: seasonal and interannual variation in distribution, abundance and demography",hybrid,months,autumn,2004-2004,Lazarev Sea,density,field sampling, ind. m ^-2,94000,NA,998,TRUE,NA,NA,,northern stations 61 - 64 S,,,-,validation,
Siegel (2012),"krill stocks in high latitudes of the antarctic lazarev sea: seasonal and interannual variation in distribution, abundance and demography",hybrid,months,winter,2006-2006,Lazarev Sea,density,field sampling, ind. m ^-2,NA,NA,68,TRUE,NA,NA,,south-eastern stations,,,-,validation,
Siegel (2012),"krill stocks in high latitudes of the antarctic lazarev sea: seasonal and interannual variation in distribution, abundance and demography",hybrid,months,autumn,2004-2004,Lazarev Sea,day night comparison of krill numerical densities,Kuskal-Wallis nonparametric ANOVA, ind. m ^-2,92,NA,54.796,TRUE,NA,NA,,Median test: 69.565,,,-,validation,
Siegel (2012),"krill stocks in high latitudes of the antarctic lazarev sea: seasonal and interannual variation in distribution, abundance and demography",hybrid,months,summer,2005-2006,Lazarev Sea,day night comparison of krill numerical densities,Kuskal-Wallis nonparametric ANOVA, ind. m ^-2,81,NA,0.156,FALSE,NA,NA,,Median test: 0.00174,,,-,validation,
Siegel (2012),"krill stocks in high latitudes of the antarctic lazarev sea: seasonal and interannual variation in distribution, abundance and demography",hybrid,months,winter,2006-2006,Lazarev Sea,day night comparison of krill numerical densities,Kuskal-Wallis nonparametric ANOVA, ind. m ^-2,52,NA,9.2478,TRUE,NA,NA,,Median test: 3.359,,,-,validation,
Siegel (2012),"krill stocks in high latitudes of the antarctic lazarev sea: seasonal and interannual variation in distribution, abundance and demography",hybrid,months,summer,2007-2008,Lazarev Sea,day night comparison of krill numerical densities,Kuskal-Wallis nonparametric ANOVA, ind. m ^-2,51,NA,0.0378,FALSE,NA,NA,,Median test: 0.1626,,,-,validation,
Siegel (2012),"krill stocks in high latitudes of the antarctic lazarev sea: seasonal and interannual variation in distribution, abundance and demography",hybrid,months,winter,1982-1982,Lazarev Sea,day night comparison of krill numerical densities,Kuskal-Wallis nonparametric ANOVA, ind. m ^-2,66,NA,10.311,TRUE,NA,NA,,Median test: 10.330,,,-,validation,
Siegel (2012),"krill stocks in high latitudes of the antarctic lazarev sea: seasonal and interannual variation in distribution, abundance and demography",hybrid,months,summer,1998-1998,West Antarctic Peninsula,day night comparison of krill numerical densities,Kuskal-Wallis nonparametric ANOVA, ind. m ^-2,104,NA,0.1267,FALSE,NA,NA,,Median test: 0.05005,,,-,validation,
Siegel (2012),"krill stocks in high latitudes of the antarctic lazarev sea: seasonal and interannual variation in distribution, abundance and demography",hybrid,months,summer,1979-1979,Bouvet,density,field sampling, ind. m ^-2,NA,NA,1.16,NA,NA,0.592,,density value corrected for day/night difference,,,-,validation,
Siegel (2012),"krill stocks in high latitudes of the antarctic lazarev sea: seasonal and interannual variation in distribution, abundance and demography",hybrid,months,winter,1982-1982,Lazarev Sea,density,field sampling, ind. m ^-2,NA,NA,16.87,NA,NA,9.724,,density value corrected for day/night difference,,,-,validation,
Siegel (2012),"krill stocks in high latitudes of the antarctic lazarev sea: seasonal and interannual variation in distribution, abundance and demography",hybrid,months,summer,1983-1983,Lazarev Sea,density,field sampling, ind. m ^-2,NA,NA,7.07,NA,NA,2.071,,density value corrected for day/night difference; south of 65 S,,,-,validation,
Siegel (2012),"krill stocks in high latitudes of the antarctic lazarev sea: seasonal and interannual variation in distribution, abundance and demography",hybrid,months,autumn,2004-2004,Lazarev Sea,density,field sampling, ind. m ^-2,NA,NA,6.79,NA,NA,1.671,,density value corrected for day/night difference; south of 60 S,,,-,validation,
Siegel (2012),"krill stocks in high latitudes of the antarctic lazarev sea: seasonal and interannual variation in distribution, abundance and demography",hybrid,months,summer,2005-2006,Lazarev Sea,density,field sampling, ind. m ^-2,NA,NA,0.58,NA,NA,0.187,,density value corrected for day/night difference; south of 60 S,,,-,validation,
Siegel (2012),"krill stocks in high latitudes of the antarctic lazarev sea: seasonal and interannual variation in distribution, abundance and demography",hybrid,months,winter,2006-2006,Lazarev Sea,density,field sampling, ind. m ^-2,NA,NA,2.26,NA,NA,0.919,,density value corrected for day/night difference; south of 60 S,,,-,validation,
Siegel (2012),"krill stocks in high latitudes of the antarctic lazarev sea: seasonal and interannual variation in distribution, abundance and demography",hybrid,months,summer,2007-2008,Lazarev Sea,density,field sampling, ind. m ^-2,NA,NA,4.21,NA,NA,1.914,,density value corrected for day/night difference; south of 60 S,,,-,validation,
Siegel (2012),"krill stocks in high latitudes of the antarctic lazarev sea: seasonal and interannual variation in distribution, abundance and demography",hybrid,months,autumn,2004-2004,Lazarev Sea,frequency of occurrence,Kuskal-Wallis nonparametric ANOVA,%,NA,larvae,21.1,NA,NA,NA,egg and larvale development,calyptopis larval stage 1,,,-,validation,
